realtime_start,value,date,realtime_end
12/6/2019,1183463,9/1/2000,12/6/2019
12/6/2019,1189920,10/1/2000,12/6/2019
12/6/2019,1197038,11/1/2000,12/6/2019
12/6/2019,1195894,12/1/2000,12/6/2019
12/6/2019,1197945,1/1/2001,12/6/2019
12/6/2019,1191600,2/1/2001,12/6/2019
12/6/2019,1186068,3/1/2001,12/6/2019
12/6/2019,1184434,4/1/2001,12/6/2019
12/6/2019,1182109,5/1/2001,12/6/2019
12/6/2019,1173176,6/1/2001,12/6/2019
12/6/2019,1165045,7/1/2001,12/6/2019
12/6/2019,1163600,8/1/2001,12/6/2019
12/6/2019,1157242,9/1/2001,12/6/2019
12/6/2019,1139077,10/1/2001,12/6/2019
12/6/2019,1126312,11/1/2001,12/6/2019
12/6/2019,1118552,12/1/2001,12/6/2019
12/6/2019,1117388,1/1/2002,12/6/2019
12/6/2019,1111859,2/1/2002,12/6/2019
12/6/2019,1108193,3/1/2002,12/6/2019
12/6/2019,1106806,4/1/2002,12/6/2019
12/6/2019,1110725,5/1/2002,12/6/2019
12/6/2019,1112674,6/1/2002,12/6/2019
12/6/2019,1119258,7/1/2002,12/6/2019
12/6/2019,1120777,8/1/2002,12/6/2019
12/6/2019,1128958,9/1/2002,12/6/2019
12/6/2019,1130630,10/1/2002,12/6/2019
12/6/2019,1132381,11/1/2002,12/6/2019
12/6/2019,1139523,12/1/2002,12/6/2019
12/6/2019,1139589,1/1/2003,12/6/2019
12/6/2019,1148176,2/1/2003,12/6/2019
12/6/2019,1149009,3/1/2003,12/6/2019
12/6/2019,1150317,4/1/2003,12/6/2019
12/6/2019,1145246,5/1/2003,12/6/2019
12/6/2019,1142115,6/1/2003,12/6/2019
12/6/2019,1139701,7/1/2003,12/6/2019
12/6/2019,1132993,8/1/2003,12/6/2019
12/6/2019,1136935,9/1/2003,12/6/2019
12/6/2019,1143104,10/1/2003,12/6/2019
12/6/2019,1145108,11/1/2003,12/6/2019
12/6/2019,1147795,12/1/2003,12/6/2019
12/6/2019,1148368,1/1/2004,12/6/2019
12/6/2019,1158745,2/1/2004,12/6/2019
12/6/2019,1168100,3/1/2004,12/6/2019
12/6/2019,1176070,4/1/2004,12/6/2019
12/6/2019,1183161,5/1/2004,12/6/2019
12/6/2019,1195398,6/1/2004,12/6/2019
12/6/2019,1207045,7/1/2004,12/6/2019
12/6/2019,1217193,8/1/2004,12/6/2019
